 S1(Amp),S2(Amp),S1(Volt),S2(Volt),Light(kiloLux),Temp(degC),Weather,State
6.4,6.8,108,109,107,34,Sunny,Normal
7.1,6.5,110,107,108,38,Sunny,Normal
6.2,6.5,106,107,107,36,Sunny,Normal
7.4,6.1,108,109,104,35,Sunny,Normal
6.5,6.9,109,109,109,38,Sunny,Normal
7.1,7.4,107,109,104,36,Sunny,Normal
7.1,7.4,109,107,108,34,Sunny,Normal
6.1,6.4,108,109,105,33,Sunny,Normal
7.2,6.6,105,107,103,32,Sunny,Normal
6,7,107,109,104,34,Sunny,Normal
6.3,6.3,107,109,102,38,Sunny,Normal
6.6,6.9,107,109,107,32,Sunny,Normal
6.1,6.9,108,108,108,39,Sunny,Normal
6.6,6.9,107,106,105,34,Sunny,Normal
7,6.1,106,106,103,33,Sunny,Normal
7,6.3,106,109,103,33,Sunny,Normal
7.6,7.5,105,108,104,34,Sunny,Normal
7.5,7.1,108,108,108,31,Sunny,Normal
6.6,6.5,106,109,104,38,Sunny,Normal
7.4,7.3,107,109,110,38,Sunny,Normal
6.9,6.7,106,109,103,32,Sunny,Normal
6.8,6.7,106,110,106,31,Sunny,Normal
6.8,7,105,107,109,39,Sunny,Normal
7.3,6.9,105,108,109,40,Sunny,Normal
6.1,6.3,108,108,108,33,Sunny,Normal
7.6,6.2,110,107,104,30,Sunny,Normal
6.9,6.2,107,108,109,39,Sunny,Normal
6.2,6.3,109,110,102,40,Sunny,Normal
6.2,6.3,108,106,104,32,Sunny,Normal
6.3,7.5,109,106,109,33,Sunny,Normal
6.7,7.5,108,107,102,38,Sunny,Normal
6.4,6.1,106,109,106,39,Sunny,Normal
6.4,6.7,107,106,106,39,Sunny,Normal
6.6,6.8,109,107,103,34,Sunny,Normal
6.9,6.7,110,107,102,36,Sunny,Normal
6.2,7.4,110,109,104,36,Sunny,Normal
6.3,6.4,108,106,105,38,Sunny,Normal
7.4,6.6,106,107,103,40,Sunny,Normal
6.3,6.3,110,106,104,40,Sunny,Normal
7.2,6.7,109,108,110,31,Sunny,Normal
7.3,7.2,107,107,105,34,Sunny,Normal
7.4,6.3,107,107,108,33,Sunny,Normal
6.9,6.4,109,107,108,39,Sunny,Normal
6.9,7.6,105,109,103,40,Sunny,Normal
6.5,6.8,109,106,108,35,Sunny,Normal
7.4,7,108,106,108,33,Sunny,Normal
6.5,6,106,110,107,34,Sunny,Normal
7.4,6.2,109,107,103,34,Sunny,Normal
6.9,6.2,109,109,106,38,Sunny,Normal
6.3,6.5,110,108,106,33,Sunny,Normal
6.9,6.8,108,110,105,39,Sunny,Normal
7.3,6.3,109,106,107,32,Sunny,Normal
7.2,6.6,108,107,104,34,Sunny,Normal
6.2,6.2,110,110,106,38,Sunny,Normal
7.1,7.2,107,108,103,39,Sunny,Normal
7.4,7.6,109,108,105,39,Sunny,Normal
7.5,6.3,106,106,104,32,Sunny,Normal
6.9,7.1,108,108,107,37,Sunny,Normal
7.2,7.3,109,107,107,32,Sunny,Normal
7,7,105,106,110,33,Sunny,Normal
7,6.4,106,109,105,40,Sunny,Normal
7.1,7.1,106,109,105,30,Sunny,Normal
6.2,6.2,110,109,107,30,Sunny,Normal
6.1,7.5,109,107,109,39,Sunny,Normal
7,6.6,107,108,105,38,Sunny,Normal
6,6.3,106,105,103,37,Sunny,Normal
6.2,6.8,106,106,109,31,Sunny,Normal
6.4,7.6,106,108,106,35,Sunny,Normal
6.1,6.8,109,109,109,32,Sunny,Normal
6.7,7.5,109,105,106,36,Sunny,Normal
7,7.5,106,106,109,35,Sunny,Normal
6.1,6.9,110,105,106,36,Sunny,Normal
6.9,6.7,107,109,109,32,Sunny,Normal
7.3,7.4,106,108,106,33,Sunny,Normal
6.6,7.4,106,105,102,37,Sunny,Normal
7.6,7.6,110,108,110,31,Sunny,Normal
6.3,7,110,106,109,36,Sunny,Normal
7,7.5,106,110,106,38,Sunny,Normal
7.2,6.3,108,108,106,32,Sunny,Normal
6.7,6.9,108,107,109,34,Sunny,Normal
